tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,1,0.0040,2.0000,0.0870,0.0000,1.0000,0.0000,19.0000,1.0000
23,1,0.0033,2.0000,0.0800,0.0000,2.0000,1.5436,21.0000,1.0000
24,1,0.0031,2.0000,0.0769,0.0000,3.0000,3.7682,21.0000,1.0000
25,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,1,0.0046,3.0000,0.1000,0.6116,1.0000,0.0000,23.0000,1.0000
33,2,0.0022,2.0000,0.0645,0.0000,1.0000,0.0000,24.0000,1.0000
34,2,0.0018,2.0000,0.0588,0.0000,1.5000,14.7726,23.0000,1.0000
35,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,1,0.0016,2.0000,0.0556,0.0000,1.0000,0.0000,24.0000,1.0000
37,1,0.0016,2.0000,0.0556,0.0000,2.0000,9.8044,23.0000,1.0000
38,1,0.0030,3.0000,0.0811,0.0000,2.0000,41.4879,25.0000,1.0000
39,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,4,0.0042,2.5000,0.0724,0.2075,1.0000,0.0000,24.0000,1.2500
41,5,0.0088,2.8000,0.0818,0.0001,1.8000,10.8642,23.6000,1.0000
42,4,0.0050,2.5000,0.0700,0.1187,2.2500,38.2800,23.2500,1.0000
43,6,0.0029,2.1667,0.0553,0.0791,2.8333,18.5883,25.0000,1.1667
44,10,0.0042,2.2000,0.0585,0.0475,2.7000,6.2319,22.1000,1.2000
45,11,0.0054,2.5455,0.0671,0.0000,3.4545,13.6879,22.2727,1.0909
46,8,0.0066,2.7500,0.0735,0.0860,4.2500,13.2817,24.3750,1.1250
47,7,0.0070,3.1429,0.0809,0.1445,5.1429,11.0889,25.4286,1.0000
48,7,0.0061,3.0000,0.0747,0.1445,6.1429,12.5894,27.2857,1.0000
49,7,0.0087,3.4286,0.0862,0.1609,5.7143,12.9384,26.4286,1.1429
50,6,0.0060,3.0000,0.0708,0.0505,7.3333,37.4581,29.3333,1.3333
51,4,0.0024,3.0000,0.0637,0.0758,8.7500,9.3544,29.2500,1.0000
52,6,0.0031,3.1667,0.0678,0.1165,7.5000,11.0480,28.3333,1.1667
53,10,0.0042,2.6000,0.0594,0.1149,7.1000,25.2674,26.2000,1.2000
54,11,0.0026,2.3636,0.0521,0.0684,7.0909,7.8850,26.0909,1.0909
55,12,0.0047,2.5833,0.0631,0.0711,5.7500,41.3427,24.1667,1.2500
56,9,0.0035,2.5556,0.0609,0.0676,7.0000,12.2470,25.1111,1.1111
57,8,0.0043,2.8750,0.0585,0.0770,7.7500,14.3910,26.1250,1.2500
58,10,0.0045,2.5000,0.0538,0.0431,7.8000,24.7750,25.1000,1.5000
59,10,0.0052,2.2000,0.0521,0.0224,8.0000,25.9655,26.1000,1.3000
60,9,0.0038,2.6667,0.0588,0.0515,8.4444,19.3176,25.0000,1.3333
61,8,0.0034,2.5000,0.0533,0.0261,8.8750,13.5148,25.0000,1.3750
62,7,0.0029,2.4286,0.0476,0.0000,10.4286,12.6226,26.0000,1.4286
63,5,0.0020,2.8000,0.0561,0.0384,9.2000,11.3503,28.0000,1.0000
64,6,0.0137,3.1667,0.0843,0.0568,5.6667,6.7623,27.1667,1.6667
65,7,0.0055,3.4286,0.0763,0.0765,4.8571,17.3080,26.1429,1.2857
66,5,0.0064,4.4000,0.0850,0.1313,7.2000,44.3199,24.2000,1.2000
67,8,0.0064,3.1250,0.0671,0.0498,5.6250,105.2474,21.2500,1.3750
68,7,0.0226,3.2857,0.0929,0.0571,6.0000,53.1111,20.0000,1.8571
69,9,0.0138,3.3333,0.0768,0.0389,8.1111,31.3441,18.0000,1.6667
70,10,0.0222,3.1000,0.0835,0.0288,7.6000,9.8373,18.1000,2.0000
71,5,0.0097,3.6000,0.0773,0.0196,13.0000,11.3669,20.2000,1.6000
72,9,0.0306,3.7778,0.1108,0.0567,9.5556,33.8540,20.2222,1.6667
73,14,0.0463,3.5714,0.1110,0.0430,8.0714,32.7805,19.1429,1.9286
74,11,0.0483,3.2727,0.1075,0.0252,5.8182,14.7368,18.2727,1.8182
75,10,0.0196,2.9000,0.0698,0.0078,6.2000,72.9076,21.0000,1.8000
76,9,0.0244,3.0000,0.0748,0.0122,4.1111,22.0175,22.0000,2.1111
77,6,0.0129,2.5000,0.0553,0.0001,9.5000,34.6686,22.0000,1.8333
78,10,0.0123,3.3000,0.0748,0.0261,8.7000,54.0596,18.0000,1.8000
79,12,0.0104,3.0833,0.0723,0.0170,10.3333,22.5567,16.0000,1.6667
80,14,0.0186,3.5000,0.0949,0.0361,11.1429,31.1916,15.0000,1.8571
81,15,0.0142,3.0000,0.0820,0.0143,11.4667,41.1104,14.0000,1.8000
82,17,0.0133,2.7647,0.0743,0.0063,8.9412,38.2546,14.0000,1.8824
83,13,0.0077,2.6923,0.0568,0.0010,8.8462,33.8193,17.0769,1.8462
84,11,0.0081,2.6364,0.0575,0.0011,10.5455,11.5857,21.0000,1.8182
85,9,0.0039,2.7778,0.0462,0.0001,11.2222,26.0772,22.0000,1.2222
86,9,0.0089,2.8889,0.0632,0.0028,11.2222,77.9808,23.0000,1.5556
87,8,0.0067,2.6250,0.0560,0.0036,9.6250,27.5857,23.0000,1.2500
88,10,0.0038,2.6000,0.0416,0.0001,8.7000,56.4607,22.0000,1.5000
89,14,0.0063,2.7143,0.0468,0.0000,7.8571,34.6686,21.0000,1.6429
90,14,0.0045,2.5714,0.0415,0.0000,8.0000,24.3912,19.0000,1.6429
91,16,0.0115,2.5625,0.0570,0.0009,8.5625,14.2718,19.0000,1.6250
92,17,0.0112,2.4706,0.0564,0.0029,9.2353,36.8331,17.1176,1.4706
93,16,0.0096,2.6875,0.0603,0.0068,9.3750,21.7421,17.1250,1.3750
94,19,0.0195,3.6316,0.0906,0.0228,9.0000,56.3063,17.0526,1.6316
95,16,0.0329,4.1250,0.1087,0.0272,8.9375,13.8512,20.0625,1.9375
96,21,0.0308,3.9524,0.1003,0.0229,8.3810,26.3605,17.0476,2.0000
97,22,0.0338,4.3182,0.0998,0.0241,9.0455,13.0814,19.0455,2.0000
98,17,0.0351,3.6471,0.1019,0.0077,9.4706,39.5369,19.0000,1.8235
99,16,0.0114,2.9375,0.0785,0.0029,8.9375,32.1112,19.0000,1.3750
100,20,0.0184,3.4500,0.0871,0.0091,8.6500,13.7523,19.0000,1.7500
101,17,0.0111,3.6471,0.0735,0.0138,10.0588,11.7632,19.0588,1.6471
102,21,0.0360,4.1905,0.1066,0.0166,7.6667,77.9078,16.0952,1.7619
103,23,0.0331,3.7391,0.0979,0.0107,8.0435,54.7076,14.1304,1.9565
104,22,0.0232,4.4545,0.1014,0.0270,9.3636,21.8342,16.0455,1.7727
105,19,0.0277,5.0000,0.0970,0.0354,10.1053,19.4968,17.1579,1.9474
106,23,0.0246,4.2609,0.0946,0.0200,9.0870,22.8972,17.0435,2.0000
107,21,0.0272,4.7619,0.0996,0.0315,9.2857,24.1579,17.1429,2.2381
108,20,0.0232,4.4500,0.0960,0.0292,10.9500,44.0398,18.1000,2.1000
109,18,0.0303,4.1667,0.0903,0.0224,11.4444,19.3712,17.1667,1.8889
110,17,0.0218,4.5294,0.0903,0.0202,11.9412,36.3796,20.1176,2.0588
111,17,0.0257,3.5294,0.0934,0.0066,10.0000,16.4508,22.1176,1.8824
112,15,0.0289,3.7333,0.0988,0.0056,12.2667,41.1963,21.2000,1.6667
113,20,0.0266,4.0000,0.0945,0.0158,10.7500,58.9418,19.0500,1.9500
114,15,0.0255,3.8667,0.0872,0.0114,11.4000,16.6154,21.2000,1.9333
115,14,0.0209,4.1429,0.0806,0.0161,10.9286,24.8869,23.1429,2.1429
116,13,0.0211,3.6923,0.0848,0.0071,12.5385,15.0701,21.1538,2.1538
117,14,0.0230,3.7143,0.0843,0.0051,10.5714,29.4408,17.1429,1.4286
118,18,0.0181,3.6667,0.0863,0.0058,11.5556,40.2837,18.0000,1.5556
119,17,0.0171,3.4706,0.0853,0.0046,12.7647,28.7012,18.0000,1.8235
120,17,0.0204,3.9412,0.0848,0.0128,12.2941,39.3138,18.0588,1.9412
121,15,0.0217,3.3333,0.0735,0.0037,12.6667,38.6702,21.0667,1.8000
122,14,0.0206,3.5000,0.0758,0.0039,12.4286,10.4826,20.2143,1.7143
123,15,0.0146,3.2667,0.0671,0.0005,11.8667,20.6526,20.0000,1.8000
124,13,0.0196,3.6154,0.0692,0.0010,12.6923,11.0462,21.2308,1.7692
125,14,0.0131,3.7857,0.0670,0.0010,10.8571,13.1441,21.0714,1.5714
126,10,0.0039,3.0000,0.0464,0.0001,10.6000,17.6463,24.0000,1.4000
127,17,0.0063,3.1765,0.0594,0.0007,10.1176,81.1322,18.0588,1.5294
128,21,0.0201,3.7619,0.0832,0.0047,11.3810,43.4307,18.0476,1.6190
