tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,k_connectivity,density,number_of_cars
0,0
1,0
2,0
3,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,1.0000,0.0000,6.1538,26.0000
4,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,1.0000,0.0000,6.1538,26.0000
5,2,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,5.1724,29.0000
6,2,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,5.1724,29.0000
7,5,0.0223,2.8000,0.1226,0.2881,1.0000,0.0000,1.0000,0.0000,3.2258,31.0000
8,5,0.0223,2.8000,0.1226,0.2881,1.0000,0.0000,1.0000,0.0000,3.2258,31.0000
9,0
10,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.9557,29.0000
11,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.9557,29.0000
12,0
13,0
14,2,0.0553,3.5000,0.2087,0.2205,1.0000,0.0000,1.5000,0.0000,6.5217,24.0000
15,2,0.0553,3.5000,0.2087,0.2205,1.0000,0.0000,1.5000,0.0000,6.5217,24.0000
16,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.4631,29.0000
17,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.4631,29.0000
18,0
19,3,0.0411,3.0000,0.1473,0.1358,1.0000,0.0000,1.0000,0.0000,5.5172,30.0000
20,3,0.0411,3.0000,0.1473,0.1358,1.0000,0.0000,1.0000,0.0000,5.5172,30.0000
21,0
22,2,0.0216,3.5000,0.1759,0.5181,1.0000,0.0000,1.0000,0.0000,4.3478,23.0000
23,2,0.0216,3.5000,0.1759,0.5181,1.0000,0.0000,1.0000,0.0000,4.3478,23.0000
24,2,0.0812,4.0000,0.2353,0.1478,1.0000,0.0000,1.0000,0.0000,9.5238,28.0000
25,2,0.0812,4.0000,0.2353,0.1478,1.0000,0.0000,1.0000,0.0000,9.5238,28.0000
26,0
27,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,1.0000,0.0000,2.2792,27.0000
28,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,1.0000,0.0000,2.2792,27.0000
29,2,0.0067,2.0000,0.0900,0.0000,1.0000,0.0000,1.0000,0.0000,4.3077,26.0000
30,2,0.0067,2.0000,0.0900,0.0000,1.0000,0.0000,1.0000,0.0000,4.3077,26.0000
31,2,0.0217,3.0000,0.1488,0.0000,1.0000,0.0000,1.0000,0.0000,5.6667,25.0000
32,2,0.0217,3.0000,0.1488,0.0000,1.0000,0.0000,1.0000,0.0000,5.6667,25.0000
33,2,0.0105,2.5000,0.1250,0.3536,1.0000,0.0000,1.5000,0.0000,3.3333,21.0000
34,2,0.0105,2.5000,0.1250,0.3536,1.0000,0.0000,1.5000,0.0000,3.3333,21.0000
35,0
36,1,0.0855,6.0000,0.2721,0.3022,1.0000,0.0000,1.0000,0.0000,8.9947,28.0000
37,1,0.0855,6.0000,0.2721,0.3022,1.0000,0.0000,1.0000,0.0000,8.9947,28.0000
38,1,0.0060,4.0000,0.1250,0.5236,1.0000,0.0000,1.0000,0.0000,3.2197,33.0000
39,1,0.0060,4.0000,0.1250,0.5236,1.0000,0.0000,1.0000,0.0000,3.2197,33.0000
40,4,0.0067,2.0000,0.0900,0.4253,1.0000,0.0000,1.0000,0.0000,2.7692,26.0000
41,4,0.0067,2.0000,0.0900,0.4253,1.0000,0.0000,1.0000,0.0000,2.7692,26.0000
42,2,0.0066,3.0000,0.1071,0.3077,1.0000,0.0000,1.0000,0.0000,2.9557,29.0000
43,2,0.0066,3.0000,0.1071,0.3077,1.0000,0.0000,1.0000,0.0000,2.9557,29.0000
44,0
45,4,0.0231,3.0000,0.1309,0.2689,1.0000,0.0000,1.0000,0.0000,4.2339,32.0000
46,4,0.0231,3.0000,0.1309,0.2689,1.0000,0.0000,1.0000,0.0000,4.2339,32.0000
47,1,0.0062,3.0000,0.1154,0.6116,1.0000,0.0000,1.0000,0.0000,3.7037,27.0000
