tempo,quantidadePAs,articulation_points_percentage,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,k_connectivity,density,number_of_cars
0,1,2,3,4,5,6,7,8,9,10,11,12
1,1,2,3,4,5,6,7,8,9,10,11,12
2,1,2,3.003,6,5.08,6,8,8,10,10,11,12
3,1,2,3,4,5,6,7,8,9,10,11,12
4,0.3333,0.6667,1.028,4.667,1.816,2.364,3.333,2.667,4,3.333,11,12
5,1,2,3,4,5,6,7,8,9,10,11,12
6,1,2,3.003,6,5.071,6,8,8,10,10,11,12
7,1,2,3,4,5,6,7,8,9,10,11,12
8,1,2,3,4,5,6,7,8,9,10,11,12
9,1,2,3.024,7,5.194,6.211,8,8,10,10,11,12
10,0.5,1,1.503,4,2.574,3.5,4.5,4,5.5,5,11,12
11,1,2,3,4,5,6,7,8,9,10,11,12
12,0.3333,0.6667,1.028,4.333,1.8,2.079,3.333,2.667,4,3.333,11,12
13,0.5,1,1.522,6.5,2.693,3.5,4.5,4,5.5,5,11,12
14,0.25,0.5,0.7792,3.5,1.391,1.892,2.75,2,3.25,2.5,11,12
15,0.5,1,1.581,5,2.714,3.078,4.5,4,5.5,5,11,12
16,1,2,3,4,5,6,7,8,9,10,11,12
17,1,2,3.003,6,5.077,6,8,8,10,10,11,12
18,0.3333,0.6667,1.006,3.333,1.753,2,3.333,2.667,4,3.333,11,12
19,0.25,0.5,0.8279,4,1.429,1.643,3,26.51,3.25,2.5,11,12
20,0.5,1,1.511,4.5,2.625,3.354,4.5,4,6,5,11,12
21,0.25,0.5,0.7955,4.25,1.428,1.645,2.75,2,3.25,2.5,11,12
22,1,2,3,4,5,6,7,8,9,10,11,12
23,0.3333,0.6667,1.007,4.333,1.773,2.175,3.333,2.667,4,3.333,11,12
24,0.3333,0.6667,1.006,3.333,1.753,2.401,3.333,2.667,4,3.333,11,12
25,0.5,1,1.507,5,2.607,3.308,4.5,4,5.5,5,11,12
26,1,2,3,4,5,6,7,8,9,10,11,12
27,0.3333,0.6667,1.024,4.333,1.804,2.19,3.333,2.667,4,3.333,11,12
28,1,2,3.006,7,5.115,6.612,8,8,10,10,11,12
29,0.25,0.5,0.7546,3,1.332,1.801,2.75,2,3.25,2.5,11,12
30,1,2,3,4,5,6,7,8,9,10,11,12
31,0.25,0.5,0.7585,3.5,1.356,1.619,2.75,2,3.25,2.5,11,12
32,0.5,1,1.514,5.5,2.632,3.217,4.5,4,6,5,11,12
33,1,2,3,4,5,6,7,8,9,10,11,12
34,1,2,3,4,5,6,7,8,9,10,11,12
35,0.3333,0.6667,1.009,4,1.769,2.298,3.333,2.667,4,3.333,11,12
36,1,2,3.003,6,5.077,6.707,8,8,10,10,11,12
37,0.5,1,1.542,7,2.736,3.422,4.5,4,5.5,5,11,12
38,1,2,3.003,6,5.08,6,8,8,10,10,11,12
39,1,2,3,4,5,6,7,8,9,10,11,12
40,0.5,1,1.509,5,2.62,3.172,4.5,4,5.5,5,11,12
41,0.3333,0.6667,1.009,4,1.782,2.138,3.667,112.2,4,3.333,11,12
42,1,2,3.002,6,5.069,6,8,8,10,10,11,12
43,0.5,1,1.505,4,2.58,3,4.5,4,5.5,5,11,12
44,1,2,3,4,5,6,7,8,9,10,11,12
45,1,2,3.004,7,5.097,6,8,8,10,10,11,12
46,0.5,1,1.527,6.5,2.649,3.381,4.5,4,5.5,5,11,12
47,0.5,1,1.59,6.5,2.737,3.247,4.5,4,6,5,11,12
48,0.25,0.5,0.7621,3.75,1.358,1.563,3,62.58,3.25,2.5,11,12
49,1,2,3,4,5,6,7,8,9,10,11,12
50,1,2,3.002,6,5.069,6,8,8,10,10,11,12
51,0.5,1,1.519,5,2.632,3.501,4.5,4,6,5,11,12
52,1,2,3,4,5,6,7,8,9,10,11,12
53,1,2,3.003,6,5.071,6,8,8,10,10,11,12
54,1,2,3.027,8,5.18,6.378,8,8,10,10,11,12
55,0.5,1,1.504,4.5,2.586,3.306,4.5,4,5.5,5,11,12
56,1,2,3.002,6,5.067,6,8,8,10,10,11,12
57,1,2,3.011,8,5.136,6.435,8,8,10,10,11,12
58,0.3333,0.6667,1.033,4,1.803,2.119,3.333,2.667,4,3.333,11,12
59,1,2,3.002,6,5.069,6.707,8,8,10,10,11,12
