time, betweenness, degree, closeness, eigenvector, lifespan, mobility, fragmentation_impact, len_articulation_points, articulation_points_percentage, density, number_of_cars
   0,           0,      0,         0, 9.537e-07  ,    2    ,        0, -1                  ,                       1,                         3.448 ,  0.4926,             29
   1,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,             40
   2,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,             49
   3,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,             72
   4,           0,      0,         0, 1.02e-06   ,    2    ,        0, -1                  ,                       1,                         1.205 ,  0.2057,             83
   5,           0,      0,         0, 4.337e-19  ,    2    ,        0, -1                  ,                       1,                         1.099 ,  0.4396,             91
   6,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,             97
   7,           0,      0,         0, 3.934e-13  ,    2    ,        0, -1                  ,                       2,                         1.869 ,  0.2998,            107
   8,           0,      0,         0, 1.664e-11  ,    2    ,        0, -1                  ,                       3,                         2.778 ,  0.1904,            108
   9,           0,      0,         0, 2.524e-14  ,    2    ,        0, -1                  ,                       2,                         1.724 ,  0.2249,            116
  10,           0,      0,         0, 6.965e-07  ,    2    ,        0, -1                  ,                       1,                         0.8475,  0.2173,            118
  11,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            112
  12,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            113
  13,           0,      0,         0, 8.133e-07  ,    2    ,        0, -1                  ,                       1,                         0.9615,  0.2054,            104
  14,           0,      0,         0, 2.524e-14  ,    2    ,        0, -1                  ,                       4,                         3.604 ,  0.2293,            111
  15,           0,      0,         0, 1.319e-28  ,    4    ,        0, -1                  ,                       1,                         0.8547,  0.3242,            117
  16,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            121
  17,           0,      0,         0, 5.354e-14  ,    2    ,        0, -1                  ,                       2,                         1.681 ,  0.2564,            119
  18,           0,      0,         0, 8.991e-07  ,    2    ,        0, -1                  ,                       3,                         2.479 ,  0.124 ,            121
  19,           0,      0,         0, 7.571e-14  ,    2    ,        0, -1                  ,                       1,                         0.9009,  0.2129,            111
  20,           0,      0,         0, 7.571e-14  ,    2    ,        0, -1                  ,                       1,                         0.8403,  0.1709,            119
  21,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            117
  22,           0,      0,         0, 3.043e-11  ,    2    ,        0, -1                  ,                       3,                         2.439 ,  0.2932,            123
  23,           0,      0,         0, 2.524e-14  ,    2    ,        0, -1                  ,                       2,                         1.653 ,  0.2204,            121
  24,           0,      0,         0, 1.606e-13  ,    2.5  ,        0, -1                  ,                       4,                         3.448 ,  0.2249,            116
  25,           0,      0,         0, 2.524e-14  ,    2    ,        0, -1                  ,                       3,                         2.564 ,  0.2653,            117
  26,           0,      0,         0, 7.571e-14  ,    2    ,        0, -1                  ,                       3,                         2.703 ,  0.2129,            111
  27,           0,      0,         0, 2.711e-20  ,    2    ,        0, -1                  ,                       2,                         1.754 ,  0.326 ,            114
  28,           0,      0,         0, 2.524e-14  ,    2    ,        0, -1                  ,                       1,                         0.8475,  0.2173,            118
  29,           0,      0,         0, 2.221e-11  ,    2    ,        0, -1                  ,                       1,                         0.813 ,  0.4265,            123
  30,           0,      0,         0, 1.308e-06  ,    2    ,        0, -1                  ,                       2,                         1.562 ,  0.2092,            128
  31,           0,      0,         0, 3.934e-13  ,    2    ,        0, -1                  ,                       1,                         0.8   ,  0.2194,            125
  32,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            119
  33,           0,      0,         0, 7.481e-07  ,    4    ,        0, -1                  ,                       1,                         0.813 ,  0.1733,            123
  34,           0,      0,         0, 1.311e-13  ,    2    ,        0, -1                  ,                       1,                         0.7692,  0.2385,            130
  35,           0,      0,         0, 1.02e-06   ,    2    ,        0, -1                  ,                       1,                         0.8475,  0.1014,            118
  36,           0,      0,         0, 1.606e-13  ,    2    ,        0, -1                  ,                       3,                         2.632 ,  0.2174,            114
  37,           0,      0,         0, 1.311e-13  ,    2    ,        0, -1                  ,                       1,                         0.9174,  0.3058,            109
  38,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            122
  39,           0,      0,         0, 7.571e-14  ,    2    ,        0, -1                  ,                       2,                         1.562 ,  0.1599,            128
  40,           0,      0,         0, 5.354e-14  ,    2    ,        0, -1                  ,                       2,                         1.538 ,  0.2504,            130
  41,           0,      0,         0, 1.084e-19  ,    2    ,        0, -1                  ,                       5,                         3.731 ,  0.2469,            134
  42,           0,      0,         0, 3.503e-46  ,    3    ,        0, -1                  ,                       2,                         1.493 ,  0.4264,            134
  43,           0,      0,         0, 2.711e-20  ,    2    ,        0, -1                  ,                       1,                         0.7692,  0.322 ,            130
  44,           0,      0,         0, 5.354e-14  ,    2    ,        0, -1                  ,                       2,                         1.538 ,  0.2266,            130
  45,           0,      0,         0, 5.354e-14  ,    2.667,        0, -1                  ,                       3,                         2.381 ,  0.2794,            126
  46,           0,      0,         0, 5.354e-14  ,    2    ,        0, -1                  ,                       1,                         0.7463,  0.2469,            134
  47,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            122
  48,           0,      0,         0, 1.632e-19  ,    2    ,        0, -1                  ,                       2,                         1.681 ,  0.2564,            119
  49,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            116
  50,           0,      0,         0, 5.354e-14  ,    2    ,        0, -1                  ,                       1,                         0.885 ,  0.2686,            113
  51,           0,      0,         0, 2.122e-26  ,    2    ,        0, -1                  ,                       1,                         0.8547,  0.2947,            117
  52,           0,      0,         0, 5.354e-14  ,    2    ,        0, -1                  ,                       1,                         0.8696,  0.2593,            115
  53,           0,      0,         0, 8.133e-07  ,    2    ,        0, -1                  ,                       3,                         2.752 ,  0.1869,            109
  54,           0,      0,         0, 7.787e-07  ,    2    ,        0, -1                  ,                       1,                         0.9009,  0.1966,            111
  55,           0,      0,         0, 1.606e-13  ,    2    ,        0, -1                  ,                       2,                         1.754 ,  0.2174,            114
  56,           0,      0,         0, 2.524e-14  ,    2    ,        0, -1                  ,                       1,                         0.885 ,  0.2528,            113
  57,           0,      0,         0, 5.354e-14  ,    2    ,        0, -1                  ,                       3,                         2.381 ,  0.2794,            126
  58,           0,      0,         0, 6.743e-07  ,    2    ,        0, -1                  ,                       5,                         4     ,  0.2065,            125
  59,           0,      0,         0, 2.524e-14  ,    2    ,        0, -1                  ,                       1,                         0.8621,  0.2399,            116
  60,           0,      0,         0, 0          ,    0    ,        0, 0                   ,                       0,                         0     ,  0     ,            138
  61,           0,      0,         0, 4.214e-27  ,    2    ,        0, -1                  ,                       2,                         1.399 ,  0.3152,            143
  62,           0,      0,         0, 3.704e-29  ,    2    ,        0, -1                  ,                       4,                         2.685 ,  0.2721,            149
  63,           0,      0,         0, 5.057e-57  ,    2    ,        0, -1                  ,                       2,                         1.274 ,  0.3103,            157
  64,           0,      0,         0, 1.183e-27  ,    2    ,        0, -1                  ,                       3,                         1.765 ,  0.2854,            170
  65,           0,      0,         0, 1.136e-13  ,    2.571,        0, -1                  ,                       7,                         4.167 ,  0.2281,            168
  66,           0,      0,         0, 4.792e-21  ,    2.5  ,        0, -1                  ,                       4,                         2.312 ,  0.3159,            173
  67,           0,      0,         0, 1.694e-21  ,    2.286,        0, -1                  ,                       7,                         4     ,  0.2956,            175
  68,           0,      0,         0, 3.704e-29  ,    2.222,        0, -1                  ,                       9,                         4.918 ,  0.2162,            183
  69,           0,      0,         0, 3.704e-29  ,    2.667,        0, -1                  ,                       6,                         3.226 ,  0.2499,            186
  70,           0,      0,         0, 1.993e-34  ,    2.5  ,        0, -1                  ,                       8,                         4.494 ,  0.3174,            178
  71,           0,      0,         0, 1.183e-27  ,    2.2  ,        0, -1                  ,                      10,                         5.464 ,  0.2702,            183
  72,           0,      0,         0, 5.078e-189 ,    2    ,        0, -1                  ,                       3,                         1.685 ,  0.3491,            178
  73,           0,      0,         0, 5.959e-27  ,    2.5  ,        0, -1                  ,                       4,                         2.186 ,  0.2282,            183
  74,           0,      0,         0, 1.015e-42  ,    2    ,        0, -1                  ,                       5,                         2.778 ,  0.3476,            180
  75,           0,      0,         0, 1.673e-26  ,    2.4  ,        0, -1                  ,                       5,                         2.778 ,  0.298 ,            180
  76,           0,      0,         0, 2.271e-13  ,    2.286,        0, -1                  ,                       7,                         3.846 ,  0.3036,            182
  77,           0,      0,         0, 1.915e-64  ,    2.667,        0, -1                  ,                       6,                         3.352 ,  0.339 ,            179
  78,           0,      0,         0, 3.475e-36  ,    3    ,        0, -1                  ,                       4,                         2.286 ,  0.3744,            175
  79,           0,      0,         0, 4.235e-22  ,    2    ,        0, -1                  ,                       5,                         2.959 ,  0.3381,            169
  80,           0,      0,         0, 2.589e-43  ,    2.667,        0, -1                  ,                       6,                         3.636 ,  0.3695,            165
  81,           0,      0,         0, 7.136e-19  ,    2.6  ,        0, -1                  ,                      10,                         5.814 ,  0.3332,            172
  82,           0,      0,         0, 0          ,    3.5  ,        0, -1                  ,                       4,                         2.273 ,  0.4805,            176
  83,           0,      0,         0, 1.999e-32  ,    2    ,        0, -1                  ,                       5,                         2.907 ,  0.4284,            172
  84,           0,      0,         0, 6.158e-24  ,    2    ,        0, -1                  ,                       1,                         0.5952,  0.5845,            168
  85,           0,      0,         0, 4.143e-62  ,    2.667,        0, -1                  ,                      12,                         7.101 ,  0.324 ,            169
  86,           0,      0,         0, 2.66e-37   ,    2.333,        0, -1                  ,                       6,                         3.636 ,  0.3104,            165
  87,           0,      0,         0, 2.743e-65  ,    2.5  ,        0, -1                  ,                       4,                         2.326 ,  0.4216,            172
  88,           0,      0,         0, 2.345e-14  ,    2.429,        0, -1                  ,                      14,                         8.235 ,  0.2715,            170
  89,           0,      0,         0, 8.585e-14  ,    2    ,        0, -1                  ,                      11,                         6.25  ,  0.2857,            176
  90,           0,      0,         0, 9.806e-297 ,    2.125,        0, -1                  ,                      16,                         7.805 ,  0.3635,            205
  91,           0,      0,         0, 2.214e-65  ,    2.4  ,        0, -1                  ,                      10,                         5.051 ,  0.2871,            198
  92,           0,      0,         0, 9.261e-34  ,    2.462,        0, -1                  ,                      13,                         6.701 ,  0.3152,            194
  93,           0,      0,         0, 1.78e-13   ,    2.333,        0, -1                  ,                      12,                         6.061 ,  0.3589,            198
  94,           0,      0,         0, 1.229e-27  ,    2.737,        0, -1                  ,                      19,                         9.694 ,  0.3035,            196
  95,           0,      0,         0, 8.616e-20  ,    2.444,        0, -1                  ,                       9,                         4.5   ,  0.4372,            200
  96,           0,      0,         0, 2.738e-101 ,    2.857,        0, -1                  ,                      14,                         7.254 ,  0.4534,            193
  97,           0,      0,         0, 1.191e-20  ,    2.25 ,        0, -1                  ,                       8,                         4.255 ,  0.4039,            188
  98,           0,      0,         0, 8.045e-63  ,    3.667,        0, -1                  ,                       6,                         3.141 ,  0.507 ,            191
  99,           0,      0,         0, 1.993e-34  ,    2.364,        0, -1                  ,                      11,                         5.882 ,  0.3623,            187
 100,           0,      0,         0, 1.565e-20  ,    2    ,        0, -1                  ,                       4,                         2.286 ,  0.3678,            175
 101,           0,      0,         0, 1.255e-30  ,    2.25 ,        0, -1                  ,                       8,                         4.469 ,  0.4582,            179
 102,           0,      0,         0, 1.064e-36  ,    2.286,        0, -1                  ,                       7,                         3.825 ,  0.3243,            183
 103,           0,      0,         0, 3.25e-187  ,    2.25 ,        0, -1                  ,                       8,                         4.255 ,  0.3925,            188
 104,           0,      0,         0, 4.034e-127 ,    2.6  ,        0, -1                  ,                      10,                         5.525 ,  0.5463,            181
 105,           0,      0,         0, 2.459e-28  ,    2.4  ,        0, -1                  ,                       5,                         2.825 ,  0.398 ,            177
 106,           0,      0,         0, 1.482e-63  ,    2.667,        0, -1                  ,                      12,                         6.897 ,  0.3986,            174
 107,           0,      0,         0, 1.44e-28   ,    3.333,        0, -1                  ,                       3,                         1.765 ,  0.3898,            170
 108,           0,      0,         0, 9.273e-14  ,    2.4  ,        0, -1                  ,                      10,                         5.682 ,  0.2403,            176
 109,           0,      0,         0, 1.334e-17  ,    2.889,        0, -1                  ,                       9,                         5.357 ,  0.278 ,            168
 110,           0,      0,         0, 2.065e-30  ,    2.75 ,        0, -1                  ,                       8,                         5     ,  0.3381,            160
 111,           0,      0,         0, 1.136e-13  ,    3.5  ,        0, -1                  ,                       4,                         2.581 ,  0.2597,            155
 112,           0,      0,         0, 4.235e-22  ,    2.4  ,        0, -1                  ,                      10,                         6.211 ,  0.2795,            161
 113,           0,      0,         0, 1.016e-13  ,    3    ,        0, -1                  ,                       4,                         2.532 ,  0.2741,            158
 114,           0,      0,         0, 3.87e-27   ,    2.667,        0, -1                  ,                       3,                         1.875 ,  0.3695,            160
 115,           0,      0,         0, 1.016e-13  ,    2    ,        0, -1                  ,                       8,                         5.333 ,  0.2685,            150
 116,           0,      0,         0, 6.146e-27  ,    2    ,        0, -1                  ,                       2,                         1.361 ,  0.3634,            147
 117,           0,      0,         0, 3.322e-28  ,    2.857,        0, -1                  ,                       7,                         4.403 ,  0.2707,            159
 118,           0,      0,         0, 2.678e-21  ,    2    ,        0, -1                  ,                       9,                         5.769 ,  0.2564,            156
 119,           0,      0,         0, 1.172e-13  ,    3.143,        0, -1                  ,                       7,                         4.516 ,  0.2765,            155
 120,           0,      0,         0, 6.776e-21  ,    2.182,        0, -1                  ,                      11,                         6.395 ,  0.272 ,            172
 121,           0,      0,         0, 8.483e-40  ,    2.667,        0, -1                  ,                       3,                         1.648 ,  0.4189,            182
 122,           0,      0,         0, 4.281e-196 ,    2.667,        0, -1                  ,                      12,                         5.797 ,  0.2908,            207
 123,           0,      0,         0, 4.256e-36  ,    2.182,        0, -1                  ,                      11,                         5.238 ,  0.2825,            210
 124,           0,      0,         0, 2.321e-16  ,    2.308,        0, -1                  ,                      13,                         6.161 ,  0.3656,            211
 125,           0,      0,         0, 6.483e-28  ,    2.167,        0, -1                  ,                      12,                         5.53  ,  0.4182,            217
 126,           0,      0,         0, 0          ,    2    ,        0, -1                  ,                      11,                         4.955 ,  0.3506,            222
 127,           0,      0,         0, 2.584e-31  ,    2.333,        0, -1                  ,                      18,                         7.759 ,  0.3097,            232
 128,           0,      0,         0, 2.938e-59  ,    2.4  ,        0, -1                  ,                      15,                         6.667 ,  0.3333,            225
 129,           0,      0,         0, 5.169e-19  ,    2.6  ,        0, -1                  ,                      10,                         4.505 ,  0.3343,            222
 130,           0,      0,         0, 2.782e-31  ,    2.8  ,        0, -1                  ,                      15,                         6.757 ,  0.3506,            222
 131,           0,      0,         0, 4.917e-29  ,    2    ,        0, -1                  ,                       6,                         2.857 ,  0.3782,            210
 132,           0,      0,         0, 5.505e-41  ,    2.571,        0, -1                  ,                      14,                         6.635 ,  0.4017,            211
 133,           0,      0,         0, 5.507e-29  ,    2.706,        0, -1                  ,                      17,                         7.763 ,  0.4105,            219
 134,           0,      0,         0, 3.543e-68  ,    2    ,        0, -1                  ,                       7,                         3.241 ,  0.4479,            216
 135,           0,      0,         0, 1.833e-51  ,    2.476,        0, -1                  ,                      21,                         9.333 ,  0.3016,            225
 136,           0,      0,         0, 1.229e-27  ,    2.714,        0, -1                  ,                      14,                         6.25  ,  0.2883,            224
 137,           0,      0,         0, 7.498e-25  ,    2.4  ,        0, -1                  ,                      15,                         6.303 ,  0.4858,            238
 138,           0,      0,         0, 9.582e-63  ,    2.667,        0, -1                  ,                      15,                         6.41  ,  0.3301,            234
 139,           0,      0,         0, 5.069e-38  ,    2.632,        0, -1                  ,                      19,                         7.917 ,  0.3731,            240
