time, betweenness, degree, closeness, eigenvector, lifespan, mobility, fragmentation_impact, len_articulation_points, articulation_points_percentage, density, number_of_cars
   0, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,             29
   1, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,             40
   2, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,             49
   3, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,             72
   4, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,             83
   5, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,             91
   6, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,             97
   7, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            107
   8, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            108
   9, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            116
  10, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            118
  11, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            112
  12, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            113
  13, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            104
  14, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            111
  15, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            117
  16, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            121
  17, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            119
  18, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            121
  19, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            111
  20, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            119
  21, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            117
  22, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            123
  23, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            121
  24, 0.0003051  ,      2,  0.01957 , 0.0002329  ,        2,        0,                    1,                       1,                         0.8621,  0.3598,            116
