tempo,quantidadePAs,articulation_points_percentage,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,k_connectivity,density,number_of_cars
0,1,3.448,0.005291,4,0.1429,1.414,3,0,2,0,0.9852,29
1,0,0,0,0,0,0,0,0,0,0
2,1,3.448,0.005291,4,0.1429,1.414,3,0,2,0,0.9852,29
3,0,0,0,0,0,0,0,0,0,0,0.2564,40
4,0,0,0,0,0,0,0,0,0,0,0.4252,49
5,0,0,0,0,0,0,0,0,0,0,0.2347,72
6,1,1.205,0.0006022,4,0.04878,1.414,3,0,2,0,0.2645,83
7,0,0,0,0,0,0,0,0,0,0
8,1,1.205,0.0006022,4,0.04878,1.414,3,0,2,0,0.2645,83
9,1,1.099,0.0004994,4,0.04444,3.186e-07,3,0,2,0,0.4884,91
10,0,0,0,0,0,0,0,0,0,0
11,1,1.099,0.0004994,4,0.04444,3.186e-07,3,0,2,0,0.4884,91
12,0,0,0,0,0,0,0,0,0,0,0.4296,97
13,2,0.4673,0.0004043,3.75,0.03538,0.4587,2.5,0,1.5,0,0.3879,107
14,0,0,0,0,0,0,0,0,0,0
15,2,0.4673,0.0004043,3.75,0.03538,0.4587,2.5,0,1.5,0,0.3879,107
16,3,0.3086,0.0002351,2.667,0.02492,3.3e-05,2.333,0,1.333,0,0.2942,108
17,0,0,0,0,0,0,0,0,0,0
18,3,0.3086,0.0002351,2.667,0.02492,3.3e-05,2.333,0,1.333,0,0.2942,108
19,2,0.431,0.0002288,3,0.02609,0.0001416,2.5,0,1.5,0,0.2849,116
20,0,0,0,0,0,0,0,0,0,0
21,2,0.431,0.0002288,3,0.02609,0.0001416,2.5,0,1.5,0,0.2849,116
22,1,0.8475,0.0002947,4,0.03419,1.414,3,0,2,0,0.2463,118
23,0,0,0,0,0,0,0,0,0,0
24,1,0.8475,0.0002947,4,0.03419,1.414,3,0,2,0,0.2463,118
25,0,0,0,0,0,0,0,0,0,0,0.1931,112
26,0,0,0,0,0,0,0,0,0,0,0.237,113
27,1,0.9615,0.0003807,4,0.03883,1.414,3,0,2,0,0.2427,104
28,0,0,0,0,0,0,0,0,0,0
29,1,0.9615,0.0003807,4,0.03883,1.414,3,0,2,0,0.2427,104
30,4,0.2252,0.0005734,2.5,0.02624,0.0002369,2.25,0,1.25,0,0.3276,111
31,0,0,0,0,0,0,0,0,0,0
32,4,0.2252,0.0005734,2.5,0.02624,0.0002369,2.25,0,1.25,0,0.3276,111
33,1,0.8547,0.0002999,4,0.03448,4.384e-09,7,2718,2,0,0.3537,117
34,0,0,0,0,0,0,0,0,0,0
35,1,0.8547,0.0002999,4,0.03448,4.384e-09,7,2718,2,0,0.3537,117
36,0,0,0,0,0,0,0,0,0,0,0.2204,121
37,2,0.4202,0.0002173,3,0.02542,0.0001244,2.5,0,1.5,0,0.3133,119
38,0,0,0,0,0,0,0,0,0,0
39,2,0.4202,0.0002173,3,0.02542,0.0001244,2.5,0,1.5,0,0.3133,119
40,3,0.2755,0.0003735,3.111,0.02778,0.272,2.333,0,1.333,0,0.2066,121
41,0,0,0,0,0,0,0,0,0,0
42,3,0.2755,0.0003735,3.111,0.02778,0.272,2.333,0,1.333,0,0.2066,121
43,1,0.9009,0.0003336,4,0.03636,0.0003623,3,0,2,0,0.2457,111
44,0,0,0,0,0,0,0,0,0,0
45,1,0.9009,0.0003336,4,0.03636,0.0003623,3,0,2,0,0.2457,111
