time,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentation_impact,number_of_articulation_points,articulation_points_percentage,density,number_of_cars
0,0,0,0,0,0,0,0,0,0,100,11
1,0,0,0,0,0,0,0,0,0,100,19
2,0,0,0,0,0,0,0,0,0,100,26
3,0,0,0,0,0,0,0,0,0,100,29
4,0,0,0,0,0,0,0,0,0,100,31
5,0,0,0,0,0,0,0,0,0,100,27
6,0,0,0,0,0,0,0,0,0,100,29
7,0,0,0,0,0,0,0,0,0,100,26
8,0,0,0,0,0,0,0,0,0,100,25
9,0,0,0,0,0,0,0,0,0,100,24
10,0,0,0,0,0,0,0,0,0,100,28
11,0,0,0,0,0,0,0,0,0,100,26
12,0,0,0,0,0,0,0,0,0,100,30
13,0,0,0,0,0,0,0,0,0,100,26
14,0,0,0,0,0,0,0,0,0,100,23
15,0,0,0,0,0,0,0,0,0,100,28
16,0,0,0,0,0,0,0,0,0,100,27
17,0,0,0,0,0,0,0,0,0,100,27
18,0,0,0,0,0,0,0,0,0,100,26
19,0,0,0,0,0,0,0,0,0,100,25
20,0,0,0,0,0,0,0,0,0,100,21
21,0,0,0,0,0,0,0,0,0,100,24
22,0,0,0,0,0,0,0,0,0,100,28
23,0,0,0,0,0,0,0,0,0,100,32
24,0,0,0,0,0,0,0,0,0,100,26
25,0,0,0,0,0,0,0,0,0,100,29
26,0,0,0,0,0,0,0,0,0,100,25
27,0,0,0,0,0,0,0,0,0,100,32
28,0,0,0,0,0,0,0,0,0,100,27
29,0,0,0,0,0,0,0,0,0,100,27
30,0,0,0,0,0,0,0,0,0,100,25
31,0,0,0,0,0,0,0,0,0,100,27
32,0,0,0,0,0,0,0,0,0,100,28
33,0,0,0,0,0,0,0,0,0,100,26
34,0,0,0,0,0,0,0,0,0,100,22
35,0,0,0,0,0,0,0,0,0,100,28
36,0,0,0,0,0,0,0,0,0,100,27
37,0,0,0,0,0,0,0,0,0,100,25
38,0,0,0,0,0,0,0,0,0,100,26
39,0,0,0,0,0,0,0,0,0,100,22
40,0,0,0,0,0,0,0,0,0,100,28
41,0,0,0,0,0,0,0,0,0,100,26
42,0,0,0,0,0,0,0,0,0,100,30
43,0,0,0,0,0,0,0,0,0,100,29
44,0,0,0,0,0,0,0,0,0,100,31
45,0,0,0,0,0,0,0,0,0,100,32
46,0,0,0,0,0,0,0,0,0,100,34
47,0,0,0,0,0,0,0,0,0,100,28
48,0,0,0,0,0,0,0,0,0,100,33
49,0,0,0,0,0,0,0,0,0,100,36
50,0,0,0,0,0,0,0,0,0,100,30
51,0,0,0,0,0,0,0,0,0,100,28
52,0,0,0,0,0,0,0,0,0,100,25
53,0,0,0,0,0,0,0,0,0,100,29
54,0,0,0,0,0,0,0,0,0,100,26
55,0,0,0,0,0,0,0,0,0,100,30
56,0,0,0,0,0,0,0,0,0,100,31
57,0,0,0,0,0,0,0,0,0,100,34
58,0,0,0,0,0,0,0,0,0,100,32
59,0,0,0,0,0,0,0,0,0,100,30
