time,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentation_impact,number_of_articulation_points,articulation_points_percentage,density,number_of_cars
0,0.002646,2,0.07143,0.7071,1,0,1,1,3.448,0.9852,29
1,0,0,0,0,0,0,0,0,0,0.2564,40
2,0,0,0,0,0,0,0,0,0,0.4252,49
3,0,0,0,0,0,0,0,0,0,0.2347,72
4,0.0003011,2,0.02439,0.7071,1,0,1,1,1.205,0.2645,83
5,0.0002497,2,0.02222,1.593e-07,1,0,1,1,1.099,0.4884,91
6,0,0,0,0,0,0,0,0,0,0.4296,97
7,0.0002695,2.5,0.02358,0.3058,1,0,1,2,1.869,0.3879,107
8,0.0001763,2,0.01869,2.475e-05,1,0,1,3,2.778,0.2942,108
9,0.0001526,2,0.01739,9.441e-05,1,0,1,2,1.724,0.2849,116
10,0.0001474,2,0.01709,0.7071,1,0,1,1,0.8475,0.2463,118
11,0,0,0,0,0,0,0,0,0,0.1931,112
12,0,0,0,0,0,0,0,0,0,0.237,113
13,0.0001904,2,0.01942,0.7071,1,0,1,1,0.9615,0.2427,104
14,0.0004587,2,0.021,0.0001895,1,0,1,4,3.604,0.3276,111
15,0.0001499,2,0.01724,2.192e-09,2,2718,1,1,0.8547,0.3537,117
16,0,0,0,0,0,0,0,0,0,0.2204,121
17,0.0001449,2,0.01695,8.296e-05,1,0,1,2,1.681,0.3133,119
18,0.0002801,2.333,0.02083,0.204,1,0,1,3,2.479,0.2066,121
19,0.0001668,2,0.01818,0.0001812,1,0,1,1,0.9009,0.2457,111
20,0.0001449,2,0.01695,0.0001812,1,0,1,1,0.8403,0.1994,119
21,0,0,0,0,0,0,0,0,0,0.4126,117
22,0.0007677,2.333,0.02656,0.1178,1,0,1,3,2.439,0.3732,123
23,0.0002801,3,0.025,0.4325,1,0,1,2,1.653,0.303,121
24,0.0002136,2,0.01826,9.471e-05,1.2,456.4,1,5,4.31,0.3598,116
25,0.0004498,2.667,0.02548,0.3163,1,0,1,3,2.564,0.3684,117
26,0.000278,2.667,0.02424,0.1745,1,0,1,3,2.703,0.344,111
27,0.0003161,3,0.02655,0.2618,1,0,1,2,1.754,0.4192,114
28,0.0001474,2,0.01709,0.0001812,1,0,1,1,0.8475,0.2463,118
29,0.000271,3,0.02459,2.295e-05,1,0,1,1,0.813,0.4665,123
30,0.000125,2,0.01575,0.5,1,0,1,2,1.562,0.2584,128
31,0.0001311,2,0.01613,0.0002007,1,0,1,1,0.8,0.2452,125
32,0,0,0,0,0,0,0,0,0,0.2421,119
33,0.000271,3,0.02459,0.6116,2,3318,1,1,0.813,0.2132,123
34,0.0001211,2,0.0155,0.0002007,1,0,1,1,0.7692,0.2624,130
35,0.0001474,2,0.01709,0.7071,1,0,1,1,0.8475,0.1304,118
36,0.000158,2,0.0177,5.372e-05,1,0,1,3,2.632,0.3105,114
37,0.0001731,2,0.01852,0.0001615,1,0,1,1,0.9174,0.3398,109
38,0,0,0,0,0,0,0,0,0,0.2981,122
39,0.000125,2,0.01575,9.441e-05,1,0,1,2,1.562,0.2092,128
40,0.0001211,2,0.0155,0.0001031,1,0,1,2,1.538,0.2982,130
41,0.0002051,2.4,0.01865,6.325e-05,1,0,1,5,3.731,0.3703,134
42,0.0002848,3,0.02318,0.231,1.5,860.9,1,2,1.493,0.4938,134
43,0.0001211,2,0.0155,5.803e-08,1,0,1,1,0.7692,0.3459,130
44,0.0001211,2,0.0155,0.0001031,1,0,1,2,1.538,0.2743,130
45,0.0002151,2.667,0.02133,0.2883,1.333,215.6,1,3,2.381,0.381,126
46,0.0002278,3,0.02256,0.6116,1,0,1,1,0.7463,0.2806,134
47,0,0,0,0,0,0,0,0,0,0.2845,122
48,0.0002173,2.5,0.02119,5.857e-05,1,0,1,2,1.681,0.3276,119
49,0.0001526,2,0.01739,1.142e-79,1,0,1,1,0.8621,0.4798,116
50,0.0001609,2,0.01786,0.0001592,1,0,1,1,0.885,0.3003,113
51,0.0001499,2,0.01724,1.038e-08,1,0,1,1,0.8547,0.3242,117
52,0.0001553,2,0.01754,0.0001592,1,0,1,1,0.8696,0.2899,115
53,0.0001731,2,0.01852,0.4082,1,0,1,3,2.752,0.2888,109
54,0.0001668,2,0.01818,0.7071,1,0,1,1,0.9009,0.2293,111
55,0.0003161,2,0.01991,0.0002329,1,0,1,2,1.754,0.2639,114
56,0.0001609,2,0.01786,0.0001812,1,0,1,1,0.885,0.2845,113
57,0.000172,2.333,0.01867,0.2039,1,0,1,3,2.381,0.3683,126
58,0.0003147,2,0.01813,0.3155,1,0,1,5,4,0.3097,125
59,0.0003051,3,0.02609,0.6116,1,0,1,1,0.8621,0.2849,116
