tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,1,0.0048,2.0000,0.0952,0.7071,1.0000,0.0000,20.0000,1.0000,0.0130,22.0000
21,1,0.0043,2.0000,0.0909,0.7071,2.0000,1.9875,21.0000,1.0000,0.0119,23.0000
22,1,0.0040,2.0000,0.0870,0.7071,3.0000,3.4811,21.0000,1.0000,0.0145,24.0000
23,1,0.0033,2.0000,0.0800,0.7071,4.0000,5.4909,23.0000,1.0000,0.0123,26.0000
24,1,0.0031,2.0000,0.0769,0.7071,5.0000,6.9739,24.0000,1.0000,0.0114,27.0000
25,1,0.0031,2.0000,0.0769,0.7071,6.0000,8.3745,24.0000,1.0000,0.0114,27.0000
26,2,0.0028,2.0000,0.0741,0.5000,4.0000,4.0971,25.0000,1.0000,0.0053,14.0000
27,1,0.0028,2.0000,0.0741,0.7071,2.0000,10.0901,26.0000,1.0000,0.0079,28.0000
28,1,0.0026,2.0000,0.0714,0.7071,3.0000,11.8455,27.0000,1.0000,0.0074,29.0000
29,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,1,0.0025,2.0000,0.0690,0.0000,1.0000,0.0000,26.0000,1.0000,0.0138,30.0000
31,1,0.0023,2.0000,0.0667,0.0000,2.0000,12.6180,25.0000,1.0000,0.0172,31.0000
32,1,0.0023,2.0000,0.0667,0.0000,3.0000,12.8710,25.0000,1.0000,0.0172,31.0000
33,1,0.0022,2.0000,0.0645,0.0000,4.0000,12.8228,27.0000,1.0000,0.0141,32.0000
34,1,0.0018,2.0000,0.0588,0.0000,5.0000,12.5555,28.0000,1.0000,0.0185,35.0000
35,1,0.0017,2.0000,0.0571,0.0000,6.0000,9.8743,29.0000,1.0000,0.0175,36.0000
36,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,2,0.0013,2.0000,0.0513,0.5000,1.0000,0.0000,32.0000,1.0000,0.0058,20.0000
41,2,0.0012,2.0000,0.0476,0.5000,2.0000,13.0499,33.0000,1.0000,0.0061,21.5000
42,3,0.0018,2.0000,0.0492,0.4011,4.3333,27.1847,32.0000,1.0000,0.0047,15.0000
43,2,0.0020,2.0000,0.0500,0.6015,6.0000,10.2865,35.0000,1.0000,0.0058,23.0000
44,4,0.0019,2.0000,0.0489,0.4253,4.0000,4.3557,35.0000,1.0000,0.0030,11.7500
45,4,0.0014,2.0000,0.0452,0.3008,4.7500,9.9764,38.0000,1.0000,0.0024,12.0000
46,5,0.0013,2.0000,0.0447,0.2406,4.8000,10.2347,36.0000,1.0000,0.0023,9.6000
47,4,0.0014,2.0000,0.0452,0.3008,6.2500,13.3604,39.0000,1.0000,0.0022,12.0000
48,4,0.0013,2.0000,0.0434,0.3008,5.2500,9.3116,40.0000,1.0000,0.0022,12.5000
49,2,0.0008,2.0000,0.0400,0.5000,7.5000,2.3551,41.0000,1.0000,0.0043,25.5000
50,2,0.0008,2.0000,0.0392,0.5000,8.0000,3.3870,42.0000,1.0000,0.0041,26.0000
51,1,0.0008,2.0000,0.0392,0.7071,2.0000,11.8838,43.0000,1.0000,0.0075,52.0000
52,2,0.0008,2.0000,0.0392,0.5000,3.5000,43.2359,44.0000,1.0000,0.0034,26.0000
53,3,0.0023,2.3333,0.0504,0.3845,3.3333,10.0287,41.3333,1.0000,0.0031,17.6667
54,2,0.0014,2.5000,0.0481,0.2374,3.5000,11.4910,42.0000,1.0000,0.0057,27.5000
55,1,0.0014,3.0000,0.0556,0.6116,1.0000,0.0000,43.0000,1.0000,0.0101,55.0000
56,3,0.0009,2.3333,0.0432,0.2039,1.3333,3.0720,39.0000,1.0000,0.0043,18.3333
57,5,0.0032,2.6000,0.0589,0.3679,3.0000,26.0937,40.0000,1.2000,0.0026,11.2000
58,7,0.0030,2.1429,0.0465,0.0000,3.5714,21.8251,39.1429,1.1429,0.0018,8.1429
59,4,0.0015,2.2500,0.0440,0.2365,4.2500,13.4969,41.0000,1.2500,0.0031,14.2500
60,2,0.0021,3.0000,0.0532,0.2667,3.5000,7.2041,41.0000,1.5000,0.0073,29.5000
61,5,0.0051,3.0000,0.0650,0.2956,5.2000,31.4937,39.0000,1.4000,0.0032,12.0000
62,5,0.0085,3.0000,0.0680,0.2530,4.6000,13.1873,39.2000,1.6000,0.0032,12.0000
63,5,0.0033,2.6000,0.0489,0.2055,5.0000,11.6509,40.0000,1.4000,0.0031,12.0000
64,7,0.0042,2.4286,0.0485,0.1866,4.8571,15.4666,37.0000,1.5714,0.0023,8.4286
65,5,0.0019,2.2000,0.0441,0.0884,4.8000,43.6596,38.0000,1.2000,0.0032,12.0000
66,4,0.0022,2.5000,0.0499,0.1342,6.2500,11.1892,40.0000,1.2500,0.0038,15.0000
67,3,0.0014,2.3333,0.0452,0.0772,7.0000,9.8219,41.0000,1.0000,0.0053,20.0000
68,3,0.0006,2.0000,0.0339,0.0000,5.3333,2.7433,42.0000,1.0000,0.0049,20.0000
69,2,0.0005,2.0000,0.0328,0.0000,8.5000,10.9386,38.0000,1.0000,0.0095,31.0000
70,2,0.0017,3.5000,0.0595,0.1881,2.0000,5.8750,36.0000,1.0000,0.0104,30.5000
71,2,0.0006,2.0000,0.0339,0.0000,10.0000,132.3327,34.0000,1.0000,0.0110,30.0000
72,3,0.0022,3.3333,0.0596,0.0930,3.0000,28.5251,35.3333,1.0000,0.0069,20.6667
73,2,0.0010,3.0000,0.0476,0.0000,4.0000,9.0532,37.0000,1.0000,0.0109,32.0000
74,5,0.0028,3.2000,0.0609,0.0628,5.4000,33.4784,38.0000,1.2000,0.0046,13.0000
75,5,0.0046,3.2000,0.0635,0.0631,6.4000,27.7448,37.2000,1.2000,0.0049,13.0000
76,5,0.0039,2.8000,0.0597,0.0498,8.6000,74.6642,37.0000,1.2000,0.0049,13.0000
77,3,0.0008,2.0000,0.0339,0.0000,12.3333,14.1537,37.0000,1.0000,0.0088,21.6667
78,7,0.0126,3.0000,0.0684,0.0568,7.7143,28.7087,34.0000,1.5714,0.0039,9.4286
79,6,0.0057,2.5000,0.0499,0.0060,7.1667,8.2092,33.0000,1.3333,0.0051,11.1667
80,7,0.0070,2.5714,0.0624,0.0151,7.4286,22.5187,33.0000,1.2857,0.0046,9.5714
81,6,0.0040,2.1667,0.0495,0.0052,4.8333,11.0244,35.0000,1.1667,0.0059,11.3333
82,6,0.0038,2.1667,0.0492,0.0047,6.8333,136.1511,36.0000,1.1667,0.0057,11.6667
83,5,0.0058,3.6000,0.0740,0.0625,7.0000,9.2387,39.0000,1.2000,0.0065,14.4000
84,4,0.0051,2.2500,0.0557,0.0079,9.5000,11.2257,38.0000,1.2500,0.0083,18.5000
85,3,0.0109,3.0000,0.0820,0.0248,11.6667,12.8155,38.0000,2.0000,0.0115,25.0000
86,7,0.0165,2.7143,0.0745,0.0140,9.5714,57.7406,36.0000,1.7143,0.0052,10.8571
87,5,0.0168,2.8000,0.0689,0.0018,12.0000,12.5677,38.0000,1.8000,0.0074,15.4000
88,4,0.0093,3.5000,0.0653,0.0039,10.5000,11.4448,39.0000,1.5000,0.0091,20.0000
89,9,0.0110,3.8889,0.0601,0.0302,6.6667,98.6261,37.0000,1.7778,0.0039,9.1111
90,5,0.0037,4.0000,0.0511,0.0503,4.0000,13.8584,39.0000,1.6000,0.0071,16.6000
91,9,0.0037,3.4444,0.0616,0.0392,3.5556,112.9877,40.0000,1.2222,0.0039,9.3333
92,9,0.0033,2.8889,0.0579,0.0109,5.0000,22.7889,37.0000,1.5556,0.0040,9.3333
93,11,0.0029,3.4545,0.0586,0.0301,5.7273,31.1900,37.0000,1.4545,0.0033,7.6364
94,8,0.0020,3.8750,0.0582,0.0420,6.5000,28.9900,39.0000,1.2500,0.0044,10.5000
95,6,0.0016,2.8333,0.0471,0.0086,5.6667,30.7736,41.0000,1.1667,0.0060,14.3333
96,3,0.0022,4.0000,0.0662,0.0229,7.6667,12.8773,42.0000,1.0000,0.0124,29.0000
97,2,0.0034,5.0000,0.0857,0.0278,10.0000,6.7822,45.0000,1.5000,0.0180,44.5000
98,3,0.0022,3.3333,0.0592,0.0187,8.6667,49.6118,47.0000,1.3333,0.0113,30.3333
99,6,0.0016,3.5000,0.0485,0.0170,10.0000,126.8732,46.0000,1.5000,0.0057,15.5000
100,6,0.0018,4.0000,0.0517,0.0280,9.8333,22.0836,45.0000,1.5000,0.0060,15.5000
101,11,0.0137,4.2727,0.0805,0.0448,6.8182,43.2642,41.0000,1.5455,0.0033,8.4545
102,10,0.0106,4.8000,0.0711,0.0503,7.3000,10.3581,44.0000,1.7000,0.0035,9.3000
103,6,0.0007,2.1667,0.0269,0.0000,2.5000,9.3375,47.0000,1.1667,0.0056,16.0000
104,6,0.0022,2.5000,0.0338,0.0000,4.5000,43.7891,45.0000,1.6667,0.0054,15.8333
105,6,0.0017,2.8333,0.0376,0.0000,4.6667,116.7959,44.0000,1.6667,0.0054,15.6667
106,5,0.0006,2.4000,0.0295,0.0000,5.2000,17.9067,44.0000,1.2000,0.0066,19.0000
107,8,0.0019,3.7500,0.0485,0.0308,4.2500,85.8377,41.1250,1.1250,0.0043,11.8750
108,8,0.0015,3.0000,0.0395,0.0000,3.7500,17.3592,42.1250,1.1250,0.0047,11.8750
109,7,0.0018,3.5714,0.0490,0.0066,6.2857,53.5052,44.0000,1.1429,0.0055,13.5714
